id,Label,total_relevance,pageviews
1330,Moscow theater hostage crisis,101,26550
1331,Peter I of Russia,92,78472
1332,Adyghe people,68,48011
1333,Bar Confederation,67,2196
1334,Treaty on Conventional Armed Forces in Europe,60,3345
1335,October Revolution,55,52949
1336,Terrorism in Russia,55,7049
1337,Turkmenistan,48,88653
1338,Treaty of the Pruth,46,470
1339,World War II casualties of the Soviet Union,43,35831
1511,Russian military intervention in Syria,392,2643
1512,Russian art,323,19342
1513,Imperial Russia,246,114799
1514,East Prussia,171,21152
1515,Russian Navy,153,41622
1516,White Ã©migrÃ©,126,8018
1517,Russian Revolution,105,112175
1518,South Ossetia,104,37976
1519,Chechnya,104,100612
1520,Old Believers,94,18047
1521,Garry Kasparov,88,50999
1522,Russian jokes,85,13430
1523,Allied intervention in the Russian Civil War,84,19335
1524,Internet censorship in Russia,80,8267
1525,Rosneft,75,11645
1526,January Uprising,74,6948
1527,Russo-Turkish War (1768â1774),72,7044
1528,Socialist movement,69,211
1529,Estonia,63,175033
1530,Bandy,61,20409
1531,Serfdom in Russia,59,11445
1532,Sochi,59,22127
1533,Bank of Russia,58,634
1534,Russian Central Bank,58,66
1535,Battle of Poltava (1708),55,11787
1536,PFC CSKA Moscow,54,63182
1537,Tadeusz KoÅciuszko,51,16174
1538,Russian Academy of Science,45,8204
1539,Ashgabat,43,15041
1540,National delimitation in the Soviet Union,42,2877
1541,Red Army,41,51366
1542,Uzbekistan,41,134871
1543,Carl XII,40,25670
1544,Opposition to Vladimir Putin in Russia,40,1760
1765,French invasion of Russia,206,40563
1766,Moscow,161,142922
1767,Politics of Russia,151,17781
1768,Russian economy,142,56475
1769,Russian Armed Forces,122,55840
1770,International Space Station,114,162143
1771,Caucasus Greeks,98,3472
1772,2010 Polish Air Force Tu-154 crash,97,24895
1773,Rock music in Russia,91,2339
1774,Rus (name),90,4775
1775,Pussy Riot,89,31643
1776,Ivan Bunin,89,4532
1777,Domestic policy of Vladimir Putin,82,984
1778,Russian diaspora,79,4737
1780,Flag of Russia,75,41262
1781,Alexander II of Russia,74,57104
1782,Vladivostok,74,48812
1783,2018 Russian presidential election,70,332
1784,Nikolay Nekrasov,67,1992
1785,Soviet Communists,66,43008
1786,Communist Party of Soviet Union,66,988
1787,Defense industry of Russia,64,4639
1788,Russian national basketball team,62,316
1789,Boris Pasternak,60,18819
1790,White movement,58,28742
1791,Konstantin Balmont,54,878
1792,Second Northern War,51,5046
1793,Russian ballet,51,6822
1794,Dushanbe,50,15003
1795,Latvia,48,155727
1796,Coat of arms of Russia,47,10547
1797,Mikhail Kutuzov,47,8604
1798,Trans-Siberian Railway,47,36695
1800,Anti-Communist,46,965
1801,Anti-communism,46,26171
1802,Gennady Zyuganov,46,8028
1803,Russian famine of 1921â1922,46,11088
1804,Russian Federal Space Agency,45,16375
1805,History of Central Asia,43,4618
1806,Kalmykia,43,11738
1807,Sakha,41,363
1808,Armenia,41,358731
1809,Sakha Republic,41,26020
1810,Norilsk,41,24850
1811,Russian Provisional Government,41,16654
1812,Russian cultural property law,41,91
1813,Brusilov Offensive,41,11845
1814,Russian architecture,40,7135
1815,All-Russian Congress of Soviets,40,2518
1816,Imperialism,40,66782
1817,Dacha,40,23769
2269,Doping in Russia,329,15782
2270,Crimean War,313,108264
2271,Borussia MÃ¶nchengladbach,203,72451
2272,Circassian genocide,168,6558
2273,First Chechen War,167,25076
2274,Iran-Russia relations,166,6961
2275,Abkhazia,166,57441
2276,Nicholas II of Russia,165,174201
2277,IndiaâRussia relations,144,15081
2278,India?Russia relations,144,15081
2279,PolishâMuscovite War (1605â1618),137,705
2280,Imperial Russian Army,126,8976
2281,First Russian circumnavigation,118,602
2282,War in Abkhazia (1992â1993),117,4206
2283,Mikhail Khodorkovsky,100,23176
2284,Revolution of 1905,97,7406
2285,Yekaterinburg,96,44106
2286,Alexander Litvinenko,95,37030
2287,LGBT rights in the Soviet Union,95,71
2288,KoÅciuszko Uprising,93,3680
2289,Kosciuszko Uprising,93,41
2290,Battle of Grozny (1994?95),93,7763
2291,Kaliningrad Oblast,92,30647
2292,Kalmyk people,91,11750
2293,German Empire,88,126912
2294,Islam in Russia,87,17285
2295,Nikolai Leskov,87,2218
2296,United Russia,83,27891
2297,Dvoryanstvo,80,9231
2298,Sergei Witte,77,6905
2299,Pyotr Ilyich Tchaikovsky,77,78828
2300,Austria-Hungary,75,130758
2301,1993 Russian constitutional crisis,74,10887
2302,Tajikistan,73,86223
2303,First Partition of Poland,73,4482
2304,Elizabeth of Russia,73,27628
2305,"Fort Ross, California",70,7239
2308,Fyodor Dostoyevsky,68,19180
2309,November Uprising,67,7238
2310,Antisemitism in the Russian Empire,65,3026
2311,Aleksey Konstantinovich Tolstoy,65,1563
2312,Russian Railways,63,8357
2313,Kazan,62,33723
2314,Republic of Tatarstan,61,34456
2315,Sergei Rachmaninoff,61,48456
2316,Partition Sejm,59,411
2317,Nihilist movement,58,2387
2318,Putinism,55,3829
2319,Grigory Potemkin,55,9281
2320,Masuria,54,4799
2321,Siberia,54,87568
2322,Mikhail Vrubel,54,3136
2324,Russia-1,49,3126
2325,Sakhalin,49,27975
2326,Vladimir Nabokov,49,47377
2327,Bashkortostan,48,12998
2328,ElblÄg,48,3743
2329,Chechen Republic of Ichkeria,47,15252
2330,Marc Chagall,46,44575
2331,Primorsky Krai,45,13252
2332,Alexander Prokhanov,45,749
2333,Rossiya Bank,45,1916
2334,2008 Russian presidential election,43,7
2335,Mikhail Kasyanov,42,3964
2336,Novichok agent,42,223430
2337,Georgi Plekhanov,42,3627
2338,Cinema of Russia,42,5369
2339,Sayfo,41,17
2340,Latvian Soviet Socialist Republic,41,5245
2341,Igor Stravinsky,40,50445
2342,Azerbaijan,40,339547
2343,Volga River,40,37252
3289,Russo-Japanese War,291,79157
3290,Seven Years' War,265,95691
3291,Prussia,253,132062
3292,Great Game,236,2598
3293,Second Chechen War,228,33616
3294,Kingdom of Prussia,226,83499
3295,Franco-Prussian War,171,71834
3296,1877â1878 Russo-Turkish War,156,21971
3297,Russo-Turkish War (1877-1878),156,364
3298,Imperial Russian Navy,154,5264
3299,Greater Poland Uprising (1848),141,851
3300,Beslan school hostage crisis,134,6230
3301,Napoleonic Wars,133,92603
3302,Russo-Persian Wars,123,4524
3303,Russian Enlightenment,122,2658
3304,Dmitry Merezhkovsky,118,1573
3305,Russian conquest of Central Asia,117,2400
3307,Livonian War,102,5352
3308,Finnish War,101,6855
3309,KÃ¶nigsberg,101,33430
3310,Grand Duchy of Finland,101,10499
3311,Russian nationality law,99,247
3312,Kursk submarine disaster,95,20911
3314,Christianity in Russia,89,3784
3315,Russian apartment bombings,89,18958
3316,Treaty of Kuchuk-Kainarji,88,2635
3317,Automotive industry in Russia,88,12133
3318,Romanov dynasty,87,66798
3319,Old Prussians,87,10430
3320,Russian philosophy,87,721
3321,Battle of Leipzig,86,20784
3322,Alexander I of Russia,85,35576
3323,War of the Sixth Coalition,83,21723
3324,Russian America,83,16289
3325,Alexander Zinoviev,83,1060
3326,Sergei Pugachev,83,1192
3327,Napoleon I of France,82,363704
3329,Thirteen Years' War (1454â66),79,2595
3330,War and Peace,79,81057
3331,President of the Russian Federation,78,2543
3332,Russian President,78,47489
3333,Duchy of Prussia,77,8635
3334,Empire of JapanâRussian Empire relations,77,1056
3335,StanisÅaw August Poniatowski,73,11399
3336,Russo-Persian War (1804â13),72,3123
3337,Russian invasion of Manchuria,70,1947
3338,Schlieffen Plan,70,34029
3339,Ringing Cedars' Anastasianism,70,1749
3341,German Confederation,69,34951
3342,Russian-American Company,69,3458
3343,Yaroslavl,69,8595
3344,Qajar Iran,68,858
3345,Paul I of Russia,68,34211
3346,Aleksandr Ostrovsky,67,219
3347,Occupation of the Baltic states,66,10602
3348,2014 Winter Olympics,66,28603
3349,Frederick Augustus I of Saxony,66,3523
3350,Ivan IV,66,76505
3351,Yukos,66,4871
3352,Rimsky-Korsakov,64,481
3353,History of Siberia,62,4568
3354,Teutonic Knights,60,17088
3355,Art Nouveau,60,64531
3356,Edward Snowden,60,261243
3357,Russian gay propaganda law,60,5703
3358,Time of Troubles,59,10720
3360,House of Hohenzollern,58,34146
3361,Alexander Herzen,58,3620
3362,Congress of Berlin,58,10067
3363,Alexander Kolchak,58,12665
3364,"Constitution of May 3, 1791",57,6345
3365,Allied and Associated Powers,57,77686
3366,Congress Poland,57,13064
3367,Alexander III of Russia,56,47912
3368,Mikhail Saltykov-Shchedrin,56,1218
3369,Mongols,56,45394
3370,Battle of Narva (1700),55,4374
3371,Treaty of Gulistan,54,2293
3372,Boxer Rebellion,53,74610
3373,Finland,53,217599
3374,Wilhelm II,53,11941
3375,Treaty of Georgievsk,53,914
3376,Ludwig Wittgenstein,52,59567
3377,Russo-Kazan wars,52,62
